-1.#IND,1.#QNAN,-2147483648,0,0,0.018,10.1637,0.0101637,
14.8133,16.9518,22,2927,128,12.486,9946.85,9.94685,
10.7738,13.9583,17,2901,108,12.52,9974.3,9.9743,
6.43293,10.7805,12,2887,99,12.549,9999.07,9.99907,
3.75301,9.90361,10,2881,91,12.579,10024,10.024,
2.10494,11.1296,11,2878,86,12.61,10048.1,10.0481,
2.37952,14.1988,14,2854,105,12.641,10072.5,10.0725,
3.89634,17.5305,17,2798,157,12.674,10098.4,10.0984,
5.79532,21.8129,22,2776,153,12.706,10124.6,10.1246,
8.64634,24.2622,25,2767,118,12.751,10165.7,10.1657,
11.1257,25.7725,28,2760,83,12.784,10192.9,10.1929,
13.9398,24.8675,28,2749,46,12.815,10220.8,10.2208,
15.9108,23.2102,28,2734,8,12.847,10248.5,10.2485,
16.5128,18.7179,24,2715,-21,12.879,10276.2,10.2762,
17.3519,15.537,23,2693,-46,12.912,10305.6,10.3056,
19.2579,14.0189,23,2676,-59,12.955,10331.8,10.3318,
18.6587,12.8862,22,2654,-69,12.987,10358.4,10.3584,
15.8412,11.1294,19,2631,-78,13.019,10385.1,10.3851,
14.3054,11.6707,18,2614,-84,13.049,10411.3,10.4113,
13.4615,13.3077,18,2591,-95,13.089,10447.2,10.4472,
12.4675,14.9408,19,2579,-104,13.126,10473.7,10.4737,
13.1497,16.4491,21,2567,-117,13.16,10501.5,10.5015,
15.1183,18.7456,24,2557,-130,13.187,10525.1,10.5251,
16.6727,20.7152,26,2548,-141,13.215,10546.6,10.5466,
18.8589,21.2515,28,2539,-154,13.245,10567,10.567,
21.8365,20.566,29,2525,-177,13.283,10594.5,10.5945,
23.719,18.8497,30,2504,-197,13.317,10622.8,10.6228,
25.463,16.7407,30,2480,-213,13.348,10651,10.651,
27.1937,14.7438,30,2441,-228,13.376,10676.2,10.6762,
26.3293,12.491,29,2376,-244,13.423,10718.3,10.7183,
26.0419,11.6766,28,2341,-248,13.454,10743.9,10.7439,
25.4852,11.7929,28,2303,-253,13.486,10770.5,10.7705,
22.2654,12.1235,25,2270,-260,13.519,10798.3,10.7983,
20.3865,13.4233,24,2241,-266,13.55,10825.8,10.8258,
19.9401,14.2395,24,2205,-278,13.585,10858.2,10.8582,
18.4556,14.5385,23,2179,-289,13.624,10882.6,10.8826,
18.3824,14.8,23,2155,-300,13.656,10907.6,10.9076,
19.2262,14.9405,24,2125,-315,13.688,10933.8,10.9338,
18.0529,13.7,22,2098,-327,13.719,10959.2,10.9592,
17.4405,12.7381,21,2062,-348,13.76,10994.6,10.9946,
15.8503,11.0898,19,2038,-365,13.799,11022.6,11.0226,
14.2959,9.93491,17,2017,-376,13.829,11048.3,11.0483,
11.0432,8.02469,13,1997,-384,13.86,11073.9,11.0739,
7.78916,6.78916,10,1981,-392,13.891,11099.7,11.0997,
4.7622,6.34146,7,1971,-397,13.922,11125,11.125,
2.56962,7.0443,7,1968,-402,13.954,11151.1,11.1511,
1.69364,9.05202,9,1956,-415,13.986,11179,11.179,
2.07101,10.7692,10,1949,-432,14.017,11206.7,11.2067,
